Name,Rating,Number_of_Ratings,Category,Subcategory,Brand,Price,Discount,Sold_by,Image
"Samsung Galaxy A36 5G A Series Cell Phone, 256GB Unlocked Android Smartphone, AMOLED Display, Rugged Design, US Version, 2025, US 1 Yr Manufacturer Warranty, Awesome Lavender",4.4,327.0,Cell Phones & Accessories,Cell Phones,Samsung,449.0,-0.05,Amazon.com,https://m.media-amazon.com/images/I/612jJWCgFcL._AC_SX679_.jpg
"Motorola Moto G 5G 2024 (128GB, 4GB) 6.6"", 50MP Dual Camera, Android 14, XT2417 (Unlocked, Sage Green) (Renewed)",4.1,343.0,Cell Phones & Accessories,Cell Phones,Motorola,174.0,,,
"OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7"" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray",4.3,1381.0,Cell Phones & Accessories,Cell Phones,OnePlus,249.0,-0.17,Amazon.com,https://m.media-amazon.com/images/I/610qFsdenLL._AC_SX679_.jpg
"OUKITEL C61 Unlocked Cell Phone 2025- Android 15, 6.88"" Display Smartphone, 16GB+128GB/1TB, 5150mAh Battery Phone, 13MP Camera, 4G Dual Sim Mobile Phones, Fingerprint/Face Unlock/GPS/BT5.0, Black",4.5,123.0,Cell Phones & Accessories,Cell Phones,OUKITEL,109.0,-0.15,Amazon,https://m.media-amazon.com/images/I/71O2WuiBbCL._AC_SX679_.jpg
"SAMSUNG Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",3.9,3597.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,5.0,,,https://m.media-amazon.com/images/I/71A87GtJnoL._AC_SX522_.jpg
"SAMSUNG Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Long Battery Life, S Pen, Global Version, 2024 - Titanium Black",4.2,133.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,820.0,,Amazon,https://m.media-amazon.com/images/I/51WdmHmubDL._AC_SX679_.jpg
"Samsung Galaxy S20 FE 5G, 128GB, Cloud Navy - Unlocked (Renewed)",3.9,10105.0,Cell Phones & Accessories,Cell Phones,Samsung,138.0,,,https://m.media-amazon.com/images/I/51yxI5nkPWL._AC_SX679_.jpg
"Google Pixel 7 Pro - 5G Android Phone - Unlocked Smartphone with Telephoto/Wide Angle Lens, and 24-Hour Battery - 128GB - Obsidian",4.2,3950.0,Cell Phones & Accessories,Cell Phones,Google,375.0,-0.05,Amazon,https://m.media-amazon.com/images/I/615rI0PoyOL._AC_SX679_.jpg
"KOKODI Kids Smart Phone, Touchscreen HD Dual Camera Cell Phone for Kids, Christmas Birthday Gifts Dinosaur Toddler Play Phone for Boys 3-10, Travel Toy Preschool Learning Education Toy",4.5,2992.0,Toys & Games,Pretend Phones & Smartphones,,29.0,-0.25,Amazon,
Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,4.2,2736.0,Cell Phones & Accessories,Cell Phones,Google,209.0,,Amazon,https://m.media-amazon.com/images/I/71C0OH4WfpL._AC_SX679_.jpg
"Samsung Galaxy A14 5G A Series Cell Phone, Factory Unlocked GSM Android Smartphone, 4GB / 64GB Black (Renewed)",3.9,458.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,115.0,,,
"OUKITEL C1 Android 15 Cell Phone Unlocked 2025-16GB+128GB(TF 1TB), 6.52'' Waterdrop Screen, 5150mAh Battery Smartphone, 13MP Camera Octa Core, 4G Triple SIM, Fingerprint/3.5mm Jack/GPS,Blue",4.5,190.0,Cell Phones & Accessories,Cell Phones,OUKITEL,106.0,-0.11,Amazon,https://m.media-amazon.com/images/I/81bn-K--I8L._AC_SX679_.jpg
"UMIDIGI G9T Cell Phone, Android 14 Smartphone Unlocked, 6.75"" HD+ 90Hz Display, 5000mAh Battery, 18W Fast Charging, 8(4+4)+128GB/1TB TF, 13MP Camera, AI Face & Fingerprint Unlock, 4G Dual SIM, GPS",3.9,326.0,Cell Phones & Accessories,Cell Phones,UMIDIGI,93.0,-0.15,Amazon,https://m.media-amazon.com/images/I/616GSePFvrL._AC_SX679_.jpg
SAMSUNG Galaxy S22 128 GB Green (Renewed),3.9,917.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,119.0,,,https://m.media-amazon.com/images/I/71c5rhsUkxL._AC_SX679_.jpg
"SAMSUNG Galaxy Z Flip 3 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",4.0,4737.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,330.0,,,https://m.media-amazon.com/images/I/61hdrl3iMXL._AC_SX569_.jpg
"SAMSUNG Galaxy S24+ Plus 5G, US Version, 256GB, Marble Gray - Unlocked (Renewed)",4.3,401.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,1299.0,,,https://m.media-amazon.com/images/I/517wd0xP59L._AC_SX679_.jpg
"OUKITEL G1 Rugged Smartphone Unlocked - 24+256GB/1TB Android 14 Rugged Cellphones, 6.52” HD Display IP68/IP69K 10600mAh Battery 48MP Rear Camera Waterproof Phone, Fingerprint/Dual Sim/NFC 2025",4.2,1131.0,Cell Phones & Accessories,Cell Phones,OUKITEL,199.0,,Amazon,https://m.media-amazon.com/images/I/919aLPXSUyL._AC_SX679_.jpg
BLU C5L MAX | 2024 | All-Day Battery | GSM Unlocked | 5.7” Display | 16/2GB |US Version | US Warranty | Black,3.7,507.0,Cell Phones & Accessories,Cell Phones,BLU,49.0,-0.14,Amazon,https://m.media-amazon.com/images/I/81No0c60jdL._AC_SX679_.jpg
SAMSUNG Galaxy S9+ 64GB Smartphone - Midnight Black - Carrier Unlocked (Renewed),4.1,159.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,199.0,,,https://m.media-amazon.com/images/I/71iEeXihiyL._AC_SX522_.jpg
"Google Pixel 6 5G, US Version, 128GB, Stormy Black - Unlocked (Renewed)",4.1,2417.0,Cell Phones & Accessories,Cell Phones,Google,144.0,-0.66,,https://m.media-amazon.com/images/I/61ruKkvVIxL._AC_SX679_.jpg
"Google Pixel 9a with Gemini - Unlocked Android Smartphone with Incredible Camera and AI Photo Editing, All-Day Battery, and Powerful Security - Porcelain - 128 GB",4.3,402.0,Cell Phones & Accessories,Cell Phones,Google,488.0,,Amazon,https://m.media-amazon.com/images/I/61AcZxJmQOL._AC_SX679_.jpg
"OUKITEL WP56 5G Rugged Smartphone Unlocked - 36GB+512GB/2TB Android 15 Rugged Phone,16000mAh Battery, 1000-Lumen Camping Light, 6.8"" FHD+ 120Hz,108MP Camera,128dB Loud Speaker Waterproof, NFC/GPS/OTG",4.8,44.0,Cell Phones & Accessories,Cell Phones,OUKITEL,399.0,,Amazon,https://m.media-amazon.com/images/I/81jwpBIkWDL._AC_SX679_.jpg
OnePlus 10 Pro | 5G Android Smartphone | 8GB+128GB | U.S. Unlocked | Triple Camera co-Developed with Hasselblad | Volcanic Black,4.3,1678.0,Cell Phones & Accessories,Cell Phones,OnePlus,649.0,,,https://m.media-amazon.com/images/I/81qOD8EZTjL._AC_SX679_.jpg
SAMSUNG Galaxy S22 5G SM-S901B/DS 128GB 8GB Dual SIM Factory Unlocked GSM Smartphone - International Version (Phantom Black),4.2,329.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,179.0,,,https://m.media-amazon.com/images/I/71SM3ocOODL._AC_SX679_.jpg
"SAMSUNG Galaxy S24 FE AI Phone, 128GB Fully Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, Graphite (Renewed)",4.1,128.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,969.0,,,https://m.media-amazon.com/images/I/61uakkLoHxL._AC_SX679_.jpg
SAMSUNG Galaxy S24 5G SM-S921B/DS 128GB 8GB Dual SIM Factory Unlocked GSM Smartphone - International Version (Onyx Black),4.6,84.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,545.0,,Amazon,https://m.media-amazon.com/images/I/31kj-vvnJSL._AC_.jpg
Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 4/128GB | 50 MPCamera | Mineral Black,4.2,1967.0,Cell Phones & Accessories,Cell Phones,Motorola,147.0,,Amazon,https://m.media-amazon.com/images/I/617-hV4-qpL._AC_SX679_.jpg
SAMSUNG Galaxy ​S25 Ultra 5G 2025 (International Version) | GSM Unlocked (T-Mobile) | ​1TB ​Storage​ + 12GB RAM SM-S938B ​Qualcomm Snapdragon 8 Elite Android 15 Smartphone (Titanium Grey),4.6,80.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,1185.0,,Amazon,https://m.media-amazon.com/images/I/51fD+MRyTFL._AC_SX679_.jpg
"TCL 40 XE 5G (Spectrum Unlocked) - 6.56"" HD+ Display, 5G Connectivity, 5000mAh Battery, 4GB RAM + 64GB Storage, Android Smartphone",3.9,34.0,Cell Phones & Accessories,Cell Phones,TCL,89.0,,Amazon,
"Samsung Galaxy Z Flip7 FE Cell Phone, 256GB AI Smartphone, Unlocked Android, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Black",4.6,100.0,Cell Phones & Accessories,Cell Phones,Samsung,759.0,-0.21,Amazon.com,https://m.media-amazon.com/images/I/61BxDsfgT0L._AC_SX679_.jpg
"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera & Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",3.9,3151.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,279.0,,,https://m.media-amazon.com/images/I/61M4ndNetDL._AC_SX679_.jpg
"SAMSUNG Galaxy A05 (SM-A055M/DS), 128GB 4GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) - (Black)",4.1,767.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,115.0,,Amazon,https://m.media-amazon.com/images/I/51ZcW3QsypL._AC_SX679_.jpg
"SAMSUNG Galaxy A16 4G (SM-A165M/DS), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (25W Power Adapter Bundle) - (Light Green)",4.0,102.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,139.0,,Amazon,https://m.media-amazon.com/images/I/51xZ48gn4VL._AC_SX679_.jpg
"Nothing Phone (3) Cell Phone, 2025 New 5G Unlocked Phones 256GB, Android 15, Snapdragon 8s Gen4, AI Mobile Phones with Four 50MP Cameras & AMOLED Display, 5150mAh, Glyph Interface, Smartphone White",4.6,14.0,Cell Phones & Accessories,Cell Phones,Nothing,719.0,-0.1,Amazon.com,https://m.media-amazon.com/images/I/51xHUFqPx9L._AC_SX679_.jpg
"OUKITEL WP53 Pro Rugged Phone Unlocked Android 15-24GB+256GB Rugged Smartphone with Camping Light, 11000mAh Battery 128dB Louder Speaker, 6.52"" HD+ Phone, 50MP Main Camera Waterproof Cell Phone NFC",5.0,27.0,Cell Phones & Accessories,Cell Phones,OUKITEL,269.0,,Amazon,https://m.media-amazon.com/images/I/81C-fKo2dvL._AC_SX679_.jpg
"Ulefone Armor 34 Pro 5G Rugged Smartphone with 150 Lumens Projector, 32GB+512GB ROM/2TB, 25500mAh 66W, Android 15, 6.95"" 120Hz, 64MP+50MP+50MP 32MP, 1100LM LED Light/Waterproof/NFC/Dual 5G/Widevine L1",4.9,20.0,Cell Phones & Accessories,Cell Phones,Ulefone,699.0,,Amazon,
"Ulefone Armor 34 PRO 5G AI Rugged Smartphone with Projector.25500mAh(66W),32GB+512GB Andriod 15 Phone,6.95 FHD+ IP68 Waterproof,64MP+50MP+50MP Camera,1100 LMS LED Light,Widevine L1,NFC,IR Blaster",4.6,21.0,Cell Phones & Accessories,Cell Phones,Ulefone,699.0,,Amazon,https://m.media-amazon.com/images/I/61d3Hjl3OKL._AC_SX679_.jpg
"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Navy",4.5,1181.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,969.0,,,https://m.media-amazon.com/images/I/71YwZXmVcEL._AC_SX679_.jpg
Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),3.9,3823.0,Cell Phones & Accessories,Cell Phones,Samsung,94.0,,,
"Samsung Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black (Renewed)",3.9,625.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,180.0,,,https://m.media-amazon.com/images/I/61uAwNHHgaL._AC_SX679_.jpg
"DOOGEE Blade 20 Ultra Rugged Phone Unlocked,32GB+512GB,10300mAh Large Battery Rugged Smartphone with 1.54""IPS Rear Display,6.6""HD+90Hz Android 14,50MP+8MP,IP68/IP69K Waterproof Phones,Face ID/NFC/OTG",4.3,38.0,Cell Phones & Accessories,Cell Phones,DOOGEE,259.0,-0.28,Amazon,https://m.media-amazon.com/images/I/81U9aWMlLML._AC_SX679_.jpg
"SAMSUNG Galaxy S25+ Cell Phone, 256GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, ProScaler Display, Long Battery Life, 2025, Navy (Renewed)",4.2,29.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,969.0,,,https://m.media-amazon.com/images/I/61YvMOsT47L._AC_SX679_.jpg
"SAMSUNG Galaxy S24 Ultra 5G, US Version, 512GB, Titanium Black - Unlocked (Renewed)",4.2,625.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,1419.0,,,https://m.media-amazon.com/images/I/71WcjsOVOmL._AC_SX679_.jpg
Samsung Galaxy S23 5G Factory Unlocked 128GB - Phantom Black (Renewed),4.1,578.0,Cell Phones & Accessories,Cell Phones,Samsung,239.0,-0.16,,https://m.media-amazon.com/images/I/51ngAkKqflL._AC_SX679_.jpg
"SAMSUNG Galaxy S23+ Plus 5G, US Version, 512GB, Phantom Black - Unlocked (Renewed)",4.2,649.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,329.0,-0.28,,https://m.media-amazon.com/images/I/51-PdNy2RqL._AC_SX569_.jpg
BLU F5| 5G | 2024 | All-Day Battery | Unlocked | 6.6” HD+ Display | 128GB | Dual 50MP | US Version | Green,3.9,112.0,Cell Phones & Accessories,Cell Phones,BLU,99.0,-0.15,Amazon,
"SAMSUNG Galaxy S22 Ultra 5G, US Version, 512GB, Phantom Black - AT&T (Renewed)",3.6,26.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,99.0,,,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_SX679_.jpg
"REDMAGIC 10 Air Smartphone 5G, 120Hz Gaming Phone, 6.8"" FHD+, Under Display Camera, 6000mAh Android Phone,16+512GB, 80W Charger, Dual-Sim, Unlocked Phone Black",4.2,15.0,Cell Phones & Accessories,Cell Phones,REDMAGIC,699.0,,Amazon,https://m.media-amazon.com/images/I/61S6wApz0ML._AC_SX522_.jpg
"Xiaomi 14T Pro Ai 5G (512GB+12GB) Nfc Global Unlocked Worldwide (Tmobile Mint Tello Global) 50MP Triple Pro Leica Camera 6.67"" 144Mhz (Titan Blue)",4.5,114.0,Cell Phones & Accessories,Cell Phones,XIAOMI,624.0,,Amazon,https://m.media-amazon.com/images/I/71PeWsSg4oL._AC_SX522_.jpg
"OnePlus 13,12GB RAM + 256GB Storage, Dual-SIM, Unlocked Android Smartphone, Snapdragon 8 Elite, 80W SUPERVOOC Fast Charging & 50W AIRVOOC Charging, Advanced Hasselblad Camera, 2025, Black Eclipse",4.6,113.0,Cell Phones & Accessories,Cell Phones,OnePlus,787.0,-0.12,Amazon.com,https://m.media-amazon.com/images/I/71gXK0cwIjL._AC_SX679_.jpg
"Samsung Galaxy S22 Ultra 5G Factory Unlocked Android Smartphone, 256GB, 8K Camera, 120Hz Refresh Rate, S Pen, Long Battery Life, Fast Processor, US Version, Phantom Black (Renewed)",4.0,207.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,969.0,,,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_SX679_.jpg
"Google Pixel 9 Pro XL - Unlocked Android Smartphone with Gemini, Triple Rear Camera System, 24-Hour Battery, and 6.8"" Super Actua Display - Obsidian - 128 GB",4.4,807.0,Cell Phones & Accessories,Cell Phones,Google,497.0,,,
Google Pixel 8 Pro - Unlocked Android Smartphone with Telephoto Lens and Super Actua Display - 24-Hour Battery - Obsidian - 256 GB (Renewed),4.0,799.0,Cell Phones & Accessories,Cell Phones,Google,99.0,,,https://m.media-amazon.com/images/I/61aRO4jJM0L._AC_SX679_.jpg
"OUKITEL WP33 PRO Rugged Smartphone 5G - 22000mAh(33W), 24GB+256GB, 6.6"" FHD+ Cell Phones, Triple 64MP Camera, Dual 5G SIM Android 13 Phone Unlocked, 18W OTG/136dB Loudest Speaker, NFC/GPS/IP68/69K/OTG",4.2,434.0,Cell Phones & Accessories,Cell Phones,OUKITEL,359.0,-0.1,Amazon,https://m.media-amazon.com/images/I/818+oZZHXiL._AC_SX679_.jpg
"SAMSUNG Galaxy S23 Ultra 5G, US Version, 512GB, Lavender - Unlocked (Renewed)",4.2,1029.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,549.0,,,https://m.media-amazon.com/images/I/517mLWWU8XL._AC_SX679_.jpg
"DOOGEE Note 58 Android 15 Unlocked Cellphone,32GB+128GB/2TB Expand Cell Phone with 6.75"" HD+ Waterdrop Screen, 6250mah Battery,4G Dual Sim Unlocked Smartphone,Widevine L1/NFC/OTG/Face Unlock, Black",4.1,550.0,Cell Phones & Accessories,Cell Phones,DOOGEE,115.0,-0.23,Amazon,https://m.media-amazon.com/images/I/71sDOyul7lL._AC_SX679_.jpg
"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Mystic Bronze, SM-N986UZNAXAA (Renewed)",4.0,2200.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,268.0,-0.09,,https://m.media-amazon.com/images/I/81KDdcchzAL._AC_SX679_.jpg
